,Discount_Percent,Discount_Price
0,-20%,$ 679.500
1,-76%,$ 499.900
2,-44%,$ 528.783
3,-47%,$ 809.000
4,-10%,$ 536.900
5,-47%,$ 1.000.350
6,-37%,$ 809.990
7,-20%,$ 954.900
8,-59%,$ 849.900
9,-44%,$ 1.029.998
10,-41%,$ 1.291.924
11,-50%,$ 1.029.900
12,-42%,$ 417.000
13,-26%,$ 3.399.990
14,-15%,$ 1.099.990
15,-38%,$ 799.900
16,-63%,$ 729.900
17,-17%,$ 829.767
18,-14%,$ 5.119.895
19,-22%,$ 4.899.900
20,-27%,$ 2.989.000
21,-31%,$ 2.679.000
22,-39%,$ 1.204.700
23,-35%,$ 709.929
24,-60%,$ 945.957
25,-34%,$ 2.099.000
26,-25%,$ 3.269.000
27,-21%,$ 548.900
28,-22%,$ 4.879.900
29,-49%,$ 779.900
30,-53%,$ 1.215.990
31,-50%,$ 424.999
32,-30%,$ 979.900
33,-40%,$ 1.199.900
34,-30%,$ 3.214.900
35,-38%,$ 1.859.900
36,-30%,$ 1.389.900
37,-22%,$ 1.466.960
38,-15%,$ 2.958.900
39,-20%,$ 679.500
40,-41%,$ 2.099.000
41,-35%,$ 709.929
42,-39%,$ 593.900
43,-34%,$ 587.000
44,-42%,$ 1.434.900
45,-42%,$ 1.434.900
46,-35%,$ 1.939.282
47,-26%,$ 4.786.900
48,-38%,$ 799.890
49,-45%,$ 349.900
50,-26%,$ 5.126.899
51,-37%,$ 528.600
52,-39%,$ 593.900
53,-27%,$ 2.529.900
54,-27%,$ 1.219.990
55,-37%,$ 2.499.900
56,-30%,$ 3.216.900
57,-63%,$ 729.900
58,-20%,$ 1.109.879
59,-29%,$ 421.900
60,-63%,$ 649.900
61,-60%,$ 599.900
62,-40%,$ 1.198.899
63,-45%,$ 349.900
64,-37%,$ 1.319.900
65,-19%,$ 1.129.859
66,-16%,$ 2.676.900
67,-60%,$ 854.955
68,-53%,$ 1.215.990
69,-39%,$ 599.900
70,-55%,$ 499.900
71,-49%,$ 779.900
72,-35%,$ 1.549.900
73,-22%,$ 3.329.000
74,-43%,$ 165.800
75,-19%,$ 4.449.000
76,-21%,$ 4.793.800
77,-11%,$ 485.500
78,-30%,$ 3.214.900
79,-32%,$ 1.359.690
80,-17%,$ 576.950
81,-38%,$ 3.259.900
82,-16%,$ 499.700
83,-68%,$ 699.900
84,-10%,$ 449.800
85,-63%,$ 729.900
86,-51%,$ 1.381.990
87,-35%,$ 778.880
88,-18%,$ 4.893.999
89,-60%,$ 854.955
90,-46%,$ 528.899
91,-50%,$ 649.199
92,-39%,$ 599.900
93,-54%,$ 999.900
94,-38%,$ 1.859.900
95,-30%,$ 3.214.900
96,-30%,$ 3.214.900
97,-31%,$ 449.925
98,-10%,$ 448.500
99,-25%,$ 4.786.900
