,Brand,Product Name,Normal Price,Discount,Discount Price,Seller,Waranty status,Waranty Period (Months),Accessories Included
25,APPLE,Iphone 13 Reacondicionado 128 Gb Rosa,$ 3.200.000,-34%,$ 2.099.000, idroid colombia,not available,0,no
30,APPLE,Iphone 11 64 Gb Morado Reacondicionado,$ 2.599.900,-53%,$ 1.215.990, micelu,not available,0,no
33,APPLE,Iphone 11 64 Gb Negro Reacondicionado,$ 2.000.000,-40%,$ 1.199.900, idroid colombia,not available,0,no
40,APPLE,Iphone 13 Reacondicionado 128 Gb Azul,$ 3.600.000,-41%,$ 2.099.000, idroid colombia,not available,0,no
46,APPLE,Iphone 12 Pro 128Gb Grafito Reacondicionado,$ 3.000.000,-35%,$ 1.939.282, idroid colombia,not available,0,no
68,APPLE,Iphone 11 64 Gb Blanco Reacondicionado,$ 2.599.900,-53%,$ 1.215.990, micelu,not available,0,no
86,APPLE, Reacondicionado Iphone 11 128Gb Negro Apple,$ 2.850.900,-51%,$ 1.381.990, micelu,not available,0,no
107,APPLE,Iphone 12 Pro 128 Gb Dorado Reacondicionado,$ 2.755.700,-31%,$ 1.899.900, ventas hatior colombia,not available,0,no
113,APPLE, Reacondicionado Iphone 11 Pro 64Gb Gris Espacial Space Gray,$ 3.159.900,-50%,$ 1.567.100, micelu,not available,0,no
116,APPLE,Iphone 13 Pro Max 256Gb Grafito Reacondicionado,$ 4.100.000,-21%,$ 3.200.000, idroid colombia,not available,0,no
118,APPLE,Iphone 12 Pro Grafito 256Gb Reacondicionado,$ 3.500.000,-38%,$ 2.154.889, idroid colombia,not available,0,no
119,APPLE, Reacondicionado Iphone 11 128Gb Morado Apple,$ 2.850.000,-51%,$ 1.381.990, micelu,not available,0,no
121,APPLE,IPHONE 14 PRO 256 GB REACONDICIONADO COLOR MORADO,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
134,APPLE,Iphone 13 Pro Max 256Gb Oro Reacondicionado,$ 3.999.000,-20%,$ 3.199.000, passcall technology,not available,0,no
135,APPLE,Iphone 12 Pro 256 Gb Dorado Reacondicionado,$ 6.599.900,-67%,$ 2.149.755, ecocell,not available,0,no
136,APPLE, Iphone X Reacondicionado Plateado 256 Gb,$ 2.159.900,-30%,$ 1.499.900, micelu,not available,0,no
138,SAMSUNG, Reacondicionado Samsung A30 Negro,$ 999.900,-70%,$ 299.900, quiero mac,not available,0,no
148,SAMSUNG, Reacondicionado Galaxy A21s Negro 128Gb Samsung,$ 799.900,-50%,$ 399.900, quiero mac,not available,0,no
155,APPLE,iPhone 12 64Gb Blanco Reacondicionado,$ 1.999.900,-25%,$ 1.499.000, ventas hatior colombia,not available,0,no
157,SAMSUNG, Samsung Galaxy S21 5G 128 Gb Phantom Gray Refurbi (Reacondicionado),$ 2.799.900,-51%,$ 1.349.900, ecocell,not available,0,no
164,APPLE,Iphone 12 128Gb Blanco Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
