,Seller
0, xingtec
1, Éxito
2, mundomovil 2020
3, celulander
4, itcel 1
5, korolos
6, celu store colombia
7, goodbyte
8, comunicaciones moviles conmovil
9, idroid colombia
10, teczone
11, ultraphone70
12, micelu
13, tecnosuperco
14, jd market
15, webcaster
16, tienda tek
17, la fabrica del iphone1
18, lisertec
19, megatronik
20, celbeeper
21, maeko
22, ventas hatior colombia
23, smartbuy_co
24, technology cas
25, celulares macrocell
26, america store
27, passcall technology
28, ecocell
29, quiero mac
30, aldnet
31, river technology
32, dg tech shop
33, 724 distribuciones
34, tecnologia online
35, teknopolis
36, technology express
37, aj tecnologia
38, jl tecnologia col
39, tecnotienda col
40, tecnohogarjssas
41, tech house
42, elitesport
43, tecnocore mobile
44, e-brands
45, dellthus
46, nimbus deliveries
47, intelcom negocios integrales
48, re.celu
49, tu tienda amarena
50, Discovery Enterprise Business
51, tech store
52, quillatimebq
53, amazingaccessories 1
54, tecnología y turismo del eje
55, cheaperland
56, giftronic
57, kalley
58, playstore
59, meltec comunicaciones
60, giftronic04
61, btechnology
62, suncell-sucel
63, comprando ando
64, cell store ap
